"index","runmean","revmean","runsd","revsd","meanEV","sdEV","bnh","tol 0.047"
1,0.00544633405347433,-0.0116119235289683,0.0109624023791147,0.00829107225940466,0.0103896663869788,0.0103896663869788,100.1,100.1
2,0.00547812158721796,-0.0121135508846717,0.010780936956333,0.0081673037285767,0.0103896663869788,0.0103896663869788,100.65055,100.65055
3,0.00573641119776863,-0.0120658924254249,0.010650215781742,0.00801076705779463,0.0103896663869788,0.0103896663869788,102.673626055,102.673626055
4,0.00345895165573013,-0.0175286670375195,0.0113837118419552,0.0058665067445009,0.0103896663869788,0.0103896663869788,102.940577482743,102.940577482743
5,0.00730517764440076,-0.0101913575486218,0.0101557942240458,0.00879082763779014,0.0103896663869788,0.0103896663869788,101.931759823412,101.931759823412
6,0.00410942417543615,-0.0152059999512421,0.0111665904012577,0.00725352233011184,0.0103896663869788,0.0103896663869788,101.840021239571,101.840021239571
7,0.00410942417543615,-0.0152059999512421,0.0111665904012577,0.00725352233011184,0.0103896663869788,0.0103896663869788,100.903093044167,100.903093044167
8,0.00479021209462513,-0.0122022065953031,0.0106834953254939,0.00833198337529428,0.0103896663869788,0.0103896663869788,100.055507062596,100.055507062596
9,0.0053219577727503,-0.0109948113616392,0.0106427680180422,0.0085851082626003,0.0103896663869788,0.0103896663869788,100.155562569659,100.155562569659
10,0.0053219577727503,-0.0109948113616392,0.0106427680180422,0.0085851082626003,0.0103896663869788,0.0103896663869788,100.826604838875,100.826604838875
11,0.00531155629333957,-0.00950323452163512,0.010791186640119,0.00850218094798478,0.0103896663869788,0.0103896663869788,102.752392991298,102.752392991298
12,0.00713196132391919,-0.00944394612690544,0.0100268648587681,0.00828897127393157,0.0103896663869788,0.0103896663869788,103.718265485416,103.718265485416
13,0.0205051880939106,-0.00101314546833394,0.00569406035481609,0.0111043019796492,0.0103896663869788,0.0103896663869788,103.521200780994,103.521200780994
14,0.0037451009558467,-0.0121778784924786,0.0110810155339894,0.00773047946930523,0.0103896663869788,0.0103896663869788,103.75929954279,103.75929954279
15,0.0208032503407367,-0.000871674917548508,0.00580700131430271,0.0109988640195909,0.0103896663869788,0.0103896663869788,103.03298444599,103.03298444599
16,0.0065513132710563,-0.00781176547764214,0.0103185008790104,0.00905516569748414,0.0103896663869788,0.0103896663869788,102.528122822205,102.528122822205
17,0.00478873853191414,-0.00888225520566184,0.0109543868703831,0.00866685088309637,0.0103896663869788,0.0103896663869788,101.759161901039,101.759161901039
18,0.00377969049155674,-0.0097088477313837,0.0112141854968387,0.00852205000648154,0.0103896663869788,0.0103896663869788,101.504763996286,101.504763996286
19,0.0140174692425718,-0.00264657830396196,0.00889082064273685,0.0104477047320374,0.0103896663869788,0.0103896663869788,102.743122117041,102.743122117041
20,0.0012328416506627,-0.0158108011501001,0.011863605064228,0.000796532432798156,0.0103896663869788,0.0103896663869788,103.708907464941,103.708907464941
21,0.00385604628600411,-0.0113232897600116,0.0108414452001071,0.00825010460244893,0.0103896663869788,0.0103896663869788,105.586038690056,105.586038690056
22,0.00342526751285913,-0.00398894621189542,0.0120797548076933,0.0104570613607408,0.0103896663869788,0.0103896663869788,106.377933980232,106.377933980232
23,0.00342526751285913,-0.00398894621189542,0.0120797548076933,0.0104570613607408,0.0103896663869788,0.0103896663869788,107.441713320034,107.441713320034
24,0.0102268377285092,-0.00275497824234918,0.00963522132664176,0.010518467502165,0.0103896663869788,0.0103896663869788,107.42022497737,107.42022497737
25,0.0102268377285092,-0.00275497824234918,0.00963522132664176,0.010518467502165,0.0103896663869788,0.0103896663869788,107.559871269841,107.559871269841
26,0.00147302116973065,-0.0193463447678588,0.011282774851603,4.98662137924483e-05,0.0103896663869788,0.0103896663869788,107.645919166856,107.645919166856
27,0.00714323884102372,-0.00565056731105584,0.00948568000951032,0.00925891006870755,0.0103896663869788,0.0103896663869788,108.281030089941,108.281030089941
28,0.00141979415361306,0.00139315168197552,0.00838806224751338,0.013501650869709,0.0103896663869788,0.0103896663869788,107.804593557545,107.804593557545
