Exchange Date,Close,Adjusted Close,Net,%Chg,Open,Low,High,Volume
9/12/2024,559.09,,4.67,0.84%,555.01,552.74,559.4,51892735
9/11/2024,554.42,,5.63,1.03%,548.7,539.96,555.36,75248608
9/10/2024,548.79,,2.38,0.44%,548.36,543.38,549.15,36394579
9/9/2024,546.41,,6.05,1.12%,544.65,542.68,547.71,40445822
9/6/2024,540.36,,-9.25,-1.68%,549.94,539.44,551.6,68493805
9/5/2024,549.61,,-1.34,-0.24%,550.89,547.1,553.7995,44264258
9/4/2024,550.95,,-1.13,-0.20%,550.2,549.46,554.43,47224939
9/3/2024,552.08,,-11.6,-2.06%,560.47,549.51,560.81,60600113
9/2/2024,,,,,,,,
8/30/2024,563.68,,5.33,0.95%,560.77,557.14,564.2,62700110
8/29/2024,558.35,,0.05,0.01%,560.31,557.18,563.68,38715176
8/28/2024,558.3,,-3.26,-0.58%,561.21,555.04,561.65,41066024
8/27/2024,561.56,,0.77,0.14%,559.49,558.32,562.06,32693898
8/26/2024,560.79,,-1.34,-0.24%,563.18,559.05,563.91,35788609
8/23/2024,562.13,,5.91,1.06%,559.53,557.29,563.09,50639393
8/22/2024,556.22,,-4.4,-0.78%,562.56,554.98,563.18,56121456
8/21/2024,560.62,,1.92,0.34%,559.77,554.73,562.11,41514600
8/20/2024,558.7,,-0.91,-0.16%,559.15,557.325,560.84,33732264
8/19/2024,559.61,,5.3,0.96%,554.73,553.86,559.61,39121793
8/16/2024,554.31,,1.24,0.22%,551.42,551.26,555.02,44430728
8/15/2024,553.07,,9.32,1.71%,549.5,548.88,553.36,60846812
8/14/2024,543.75,,1.71,0.32%,542.85,540.12,544.96,42446929
8/13/2024,542.04,,8.77,1.64%,536.53,536.28,542.28,52333073
8/12/2024,533.27,,0.28,0.05%,534.21,530.95,535.73,42542069
8/9/2024,532.99,,2.34,0.44%,529.81,528.56,534.51,45619558
8/8/2024,530.65,,11.99,2.31%,523.91,521.84,531.29,63276589
8/7/2024,518.66,,-3.49,-0.67%,528.47,518.0519,531.59,70698340
8/6/2024,522.15,,4.77,0.92%,519.22,517.87,529.75,84826312
8/5/2024,517.38,,-15.52,-2.91%,511.64,510.27,523.58,146267391
8/2/2024,532.9,,-10.11,-1.86%,535.75,528.6,536.99,82789070
8/1/2024,543.01,,-7.8,-1.42%,552.57,539.43,554.8688,76428732
7/31/2024,550.81,,8.81,1.63%,548.98,547.5799,553.5,65663388
7/30/2024,542,,-2.76,-0.51%,546.26,538.515,547.34,46853632
7/29/2024,544.76,,0.32,0.06%,546.02,542.72,547.05,39515824
7/26/2024,544.44,,6.03,1.12%,542.28,541.49,547.19,53763788
7/25/2024,538.41,,-2.82,-0.52%,541.35,537.45,547.455,61158288
7/24/2024,541.23,,-12.55,-2.27%,548.86,540.29,549.17,74515266
7/23/2024,553.78,,-0.87,-0.16%,554.54,553.275,556.735,34439561
7/22/2024,554.65,,5.66,1.03%,553,551.02,555.27,43346720
7/19/2024,548.99,,-3.67,-0.66%,552.42,547.91,554.08,65509081
7/18/2024,552.66,,-4.28,-0.77%,558.51,550.43,559.52,56270392
7/17/2024,556.94,,-7.92,-1.40%,558.8,556.61,560.51,57118956
7/16/2024,564.86,,3.33,0.59%,562.865,562.1,565.16,36475260
7/15/2024,561.53,,1.54,0.28%,562.03,559.63,564.8371,40584293
7/12/2024,559.99,,3.51,0.63%,557.63,557.15,563.67,53084405
7/11/2024,556.48,,-4.84,-0.86%,561.44,555.83,562.33,53054184
7/10/2024,561.32,,5.5,0.99%,557.07,556.77,561.67,38701220
7/9/2024,555.82,,0.54,0.10%,556.26,555.52,557.18,27314125
7/8/2024,555.28,,0.64,0.12%,555.44,554.19,556.2501,36110451
7/5/2024,554.64,,3.18,0.58%,551.77,551.12,555.05,41488389
7/4/2024,,,,,,,,
7/3/2024,551.46,,2.45,0.45%,548.69,548.65,551.83,32789911
7/2/2024,549.01,,3.67,0.67%,543.7,543.65,549.01,40434792
7/1/2024,545.34,,1.12,0.21%,545.63,542.52,545.88,40297810
6/28/2024,544.22,,-2.15,-0.39%,547.16,542.95,550.28,76144535
6/27/2024,546.37,,0.86,0.16%,545.37,544.61,546.96,35041480
6/26/2024,545.51,,0.68,0.12%,543.69,543.03,546.24,38550637
6/25/2024,544.83,,2.09,0.39%,543.99,542.44,545.2,38273346
6/24/2024,542.74,,-1.77,-0.33%,544.33,542.62,546.95,45528654
6/21/2024,544.51,,-2.49,-0.46%,544.4,543.02,545.65,64513859
6/20/2024,547,,-1.49,-0.27%,549.44,545.18,550.12,70328226
6/19/2024,,,,,,,,
6/18/2024,548.49,,1.39,0.25%,547.16,546.73,548.62,41376417
6/17/2024,547.1,,4.32,0.80%,542.08,541.6072,548.53,55839457
6/14/2024,542.78,,0.33,0.06%,540.88,539.85,542.81,40089895
6/13/2024,542.45,,1.09,0.20%,543.15,539.59,543.325,44760949
6/12/2024,541.36,,4.41,0.82%,541.63,540.3,544.12,63251305
6/11/2024,536.95,,1.29,0.24%,534.07,532.05,537.01,36383411
6/10/2024,535.66,,1.65,0.31%,533.18,532.57,535.99,35729252
6/7/2024,534.01,,-0.65,-0.12%,533.66,532.535,536.89,43224525
6/6/2024,534.66,,-0.01,0.00%,534.98,532.68,535.42,30808530
6/5/2024,534.67,,6.28,1.19%,530.77,528.7254,534.69,47610365
